timestamp,latitude,longitude,accident,harm,index_right,u,v,key,osmid,highway,length,speed_kph,travel_time,dist_to_edge
2022-01-07 08:29:00,43.10087516,-89.50414651,1,0,11462,53621134,496663038,0,"[335058609, 1425312562, 700702997]",secondary,369.7407865165259,48.2802,27.569621324259078,0.013039533698555587
2022-01-07 08:29:00,43.10087516,-89.50414651,1,0,14902,496663038,53621134,0,"[335058609, 1425312562, 700702997]",secondary,369.7407865165258,48.2802,27.569621324259074,0.013039533698555587
2022-01-07 08:52:00,43.099155524,-89.50894684,1,0,113,53279168,53279175,0,"[37825793, 37825794, 1169866150]",motorway,648.7520016496732,88.5137,26.38582734581001,0.012935782882382814
2022-01-07 12:21:00,43.104216953,-89.48709088,1,0,22637,12697225805,53652562,0,1370946110,primary,178.69390797791348,56.3269,11.420796612639583,0.012117754672158124
2022-01-09 02:19:00,43.191819384,-89.42565741,1,0,19694,3398755417,472624264,0,39464750,primary,569.5584059538279,88.5137,23.1648915527628,0.038498425338047544
2022-01-09 02:19:00,43.191819384,-89.42565741,1,0,14741,472624264,53441701,0,6644042,tertiary,106.6207367400523,44.58354698042482,8.609334121233502,0.038498425338047544
2022-01-09 02:19:00,43.191819384,-89.42565741,1,0,3200,53441701,472624264,0,6644042,tertiary,106.62073674005228,44.58354698042482,8.6093341212335,0.038498425338047544
2022-01-04 12:05:00,43.193449244,-89.46177722,1,0,19694,3398755417,472624264,0,39464750,primary,569.5584059538279,88.5137,23.1648915527628,0.06613860801466946
2022-01-04 12:05:00,43.193449244,-89.46177722,1,0,14741,472624264,53441701,0,6644042,tertiary,106.6207367400523,44.58354698042482,8.609334121233502,0.06613860801466946
2022-01-04 12:05:00,43.193449244,-89.46177722,1,0,3200,53441701,472624264,0,6644042,tertiary,106.62073674005228,44.58354698042482,8.6093341212335,0.06613860801466946
2022-01-07 10:35:00,43.089078839,-89.43362827,1,1,21245,5479073808,53430945,0,569772900,residential,432.58268966643305,35.78807267343486,43.51443278349901,4.4947415212803005e-05
2022-01-06 15:04:00,43.075350496,-89.45104113,1,0,17526,2397822462,1345994710,0,739880972,secondary,18.885292346071036,51.91636569037656,1.3095495330186047,5.597789178360219e-05
2022-01-09 03:54:00,43.111025535,-89.35053401,1,0,19710,3422047423,53313953,0,"[1369806753, 1043459403, 28710702]",primary,514.8268543388718,72.4203,25.5919497105085,6.352617734098505e-05
2022-01-09 10:02:00,43.109939344,-89.30595777,1,0,6284,53499829,53619497,0,"[632121976, 6752639]",residential,269.66355365027067,35.78807267343486,27.12604285789275,4.916205277545781e-06
2022-01-09 10:02:00,43.109939344,-89.30595777,1,0,11394,53619497,53499829,0,"[632121976, 6752639]",residential,269.66355365027067,35.78807267343486,27.12604285789275,4.916205277545781e-06
2022-01-05 18:50:00,43.096758841,-89.35314261,1,0,14252,449952498,449959902,0,1208749321,primary,151.15518139754985,56.3269,9.660724325875904,1.535874844081215e-05
2022-01-09 11:17:00,43.059227373,-89.52802998,1,0,19305,3106156143,3106156149,0,"[305917148, 1462000710, 1462000711]",secondary_link,175.91707185689634,48.2802,13.117208683576846,5.236790552849338e-05
2022-01-08 21:55:00,43.114408168,-89.2988466,1,0,9747,53573749,53573748,0,6711500,residential,44.142779451725644,35.78807267343486,4.440418110142395,0.00014551277409173948
2022-01-08 21:55:00,43.114408168,-89.2988466,1,0,9744,53573748,53573749,0,6711500,residential,44.142779451725644,35.78807267343486,4.440418110142395,0.00014551277409173948
2022-01-06 11:47:00,43.131541174,-89.3029566,1,1,16206,1221418900,657869854,0,"[112456545, 1430847653, 1428915382, 936272431]",primary,272.8318002662798,64.3736,15.25772181388966,3.339399003581525e-06
2022-01-07 21:46:00,43.084500475,-89.26677032,1,0,17064,1909162241,53510751,0,824632688,secondary,114.8738264168657,56.3269,7.341887714408506,2.0471953440593838e-05
2022-01-07 21:46:00,43.084500475,-89.26677032,1,0,6706,53510751,1909162241,0,824632688,secondary,114.87382641686571,56.3269,7.341887714408507,2.0471953440593838e-05
2022-01-07 15:30:00,43.047972574,-89.43921982,1,1,18286,2634550734,1720713581,0,407521140,secondary,17.377947935715262,48.2802,1.2957819679407905,2.8893806005300367e-05
2022-01-07 15:30:00,43.047972574,-89.43921982,1,1,16779,1720713581,2634550734,0,407521140,secondary,17.377947935715262,48.2802,1.2957819679407905,2.8893806005300367e-05
2022-01-07 21:47:00,43.046998173,-89.47359268,1,0,14380,452151340,2446501470,0,700703047,secondary,105.81384575599911,48.2802,7.889980669541485,4.094904951980449e-06
2022-01-01 01:46:00,43.053937157,-89.43656828,1,0,12250,53662010,53424826,0,28771874,tertiary,128.76524359825515,40.2335,11.52161449920386,3.2266520584062395e-05
2022-01-01 01:46:00,43.053937157,-89.43656828,1,0,2042,53424826,53662010,0,28771874,tertiary,128.76524359825515,40.2335,11.52161449920386,3.2266520584062395e-05
2022-01-08 17:20:00,43.047227974,-89.28359522,1,0,174,53281484,53314335,0,"[118936963, 6653028]",motorway,629.3602242471327,88.5137,25.59713137389667,5.636895745683902e-06
2022-01-08 03:03:00,43.035584892,-89.43296575,1,1,16874,1843427850,53278738,0,"[38254190, 1095180403, 1383926214]",motorway,850.4843821293308,88.5137,34.59062016010619,2.4612114774366027e-05
2022-01-07 19:29:00,43.051121245,-89.47500276,1,0,10529,53595777,53595779,0,"[210261961, 707355717]",tertiary,298.6212213256813,48.2802,22.266610262021548,0.001123802240848177
2022-01-07 19:29:00,43.051121245,-89.47500276,1,0,10533,53595779,53595777,0,"[210261961, 707355717]",tertiary,298.62122132568123,48.2802,22.266610262021544,0.001123802240848177
2022-01-10 08:24:00,43.048557281,-89.43856812,1,0,21281,5570159306,53572541,0,158311472,secondary,263.3466899367945,48.2802,19.636374409643295,3.988054056265258e-05
2022-01-10 08:24:00,43.048557281,-89.43856812,1,0,9651,53572541,5570159306,0,158311472,secondary,263.34668993679446,48.2802,19.63637440964329,3.988054056265258e-05
2022-01-05 15:15:00,43.074317837,-89.38251823,1,0,558,53332729,53408558,0,453867866,residential,119.96846259500288,35.78807267343486,12.06788835160144,1.4148176612570334e-06
2022-01-01 16:15:00,43.119487604,-89.32073349,1,0,1827,53422746,53422735,0,"[573318013, 1428915375]",primary,397.6822060968592,64.3736,22.239799264740412,2.8896341173747234e-06
2022-01-07 16:32:00,43.113374102,-89.36377767,1,1,2517,53433899,2912188914,0,"[319966640, 788777396, 98799349]",tertiary,297.52107155953803,48.2802,22.184577893511978,1.5770220660047912e-05
