edge_id,hour,risk,accidents,y,best_travel_time_s
53482146_53724310_0,2022-12-31 23:00:00,0.0529243890904305,0,0,384.48765493506266
53482150_446490213_0,2022-12-31 23:00:00,0.0529243890904305,0,0,377.2150168081894
53482150_53482146_0,2022-12-31 23:00:00,0.0529243890904305,0,0,377.2150168081894
53482845_53445195_0,2022-12-31 23:00:00,0.0529243890904305,0,0,318.242127225509
53482952_917593526_0,2022-12-31 23:00:00,0.0529243890904305,0,0,56.97959988865188
53482954_53482952_0,2022-12-31 23:00:00,0.0529243890904305,0,0,69.21202111695415
53482954_53482965_0,2022-12-31 23:00:00,0.0529243890904305,0,0,69.21202111695415
53482954_53578514_0,2022-12-31 23:00:00,0.0529243890904305,0,0,69.21202111695415
53482965_1182471991_0,2022-12-31 23:00:00,0.0529243890904305,0,0,74.5115767558316
53483330_53576821_0,2022-12-31 23:00:00,0.0529243890904305,0,0,115.67056195779774
53479036_53667328_0,2022-12-31 23:00:00,0.0529243890904305,0,0,468.5764623987241
53478621_53434616_0,2022-12-31 23:00:00,0.0529243890904305,0,0,386.96907139512035
53478615_316166962_0,2022-12-31 23:00:00,0.0529243890904305,0,0,400.068256209479
53477376_53477368_0,2022-12-31 23:00:00,0.0529243890904305,0,0,355.3896889553248
53467500_13324853247_0,2022-12-31 23:00:00,0.0529243890904305,0,0,36.700068361810416
53475365_53475360_0,2022-12-31 23:00:00,0.0529243890904305,0,0,45.25460842475851
53475377_53475372_0,2022-12-31 23:00:00,0.0529243890904305,0,0,66.95586465962883
53475458_53462430_0,2022-12-31 23:00:00,0.0529243890904305,0,0,181.8968454626323
53475694_53699463_0,2022-12-31 23:00:00,0.0529243890904305,0,0,107.36735503365777
53476033_53433092_0,2022-12-31 23:00:00,0.0529243890904305,0,0,514.6024601653877
53477164_53555112_0,2022-12-31 23:00:00,0.0529243890904305,0,0,347.5257990650255
53477190_53483564_0,2022-12-31 23:00:00,0.0529243890904305,0,0,325.25605266142986
53477376_53516536_0,2022-12-31 23:00:00,0.0529243890904305,0,0,355.3896889553248
53478567_2634656408_0,2022-12-31 23:00:00,0.0529243890904305,0,0,197.42217069476948
53477566_3303410183_0,2022-12-31 23:00:00,0.0529243890904305,0,0,491.385011864463
53478084_53435745_0,2022-12-31 23:00:00,0.0529243890904305,0,0,245.6686927333812
53478096_53629196_0,2022-12-31 23:00:00,0.0529243890904305,0,0,255.77430019356748
53478119_53478123_0,2022-12-31 23:00:00,0.0529243890904305,0,0,255.53492855396112
53478123_53478119_0,2022-12-31 23:00:00,0.0529243890904305,0,0,261.14821016391943
53478132_53478139_0,2022-12-31 23:00:00,0.0529243890904305,0,0,266.88661915555264
53478525_53603943_0,2022-12-31 23:00:00,0.0529243890904305,0,0,154.3485188288741
