y,x,highway,ref,street_count,junction,railway
43.046663,-89.510142,,,3,,
43.046379,-89.510113,,,1,,
43.046766,-89.508871,,,3,,
43.046358,-89.508875,,,1,,
43.046342,-89.507602,,,1,,
43.046661,-89.507611,,,3,,
43.075036,-89.5210525,traffic_signals,,4,,
43.082086,-89.47704,,,3,,
43.081646,-89.476085,,,1,,
43.0296749,-89.4177364,,,3,,
43.126918,-89.315484,,,3,,
43.05273,-89.515393,,,3,,
43.052521,-89.515015,,,1,,
43.054748,-89.440031,,,3,,
43.054971,-89.441894,,,3,,
43.029391,-89.4146788,,,4,,
43.030161,-89.41874,,,3,,
43.084909,-89.295836,,,3,,
43.085059,-89.295126,turning_circle,,1,,
43.133128,-89.369207,,,3,,
43.133267,-89.369112,,,4,,
43.133634,-89.368245,,,3,,
43.133614,-89.36709,,,3,,
43.133598,-89.365912,,,3,,
43.133783,-89.389475,,,3,,
43.133775,-89.387294,,,3,,
43.133769,-89.385905,,,3,,
43.133768,-89.385275,,,3,,
43.133744,-89.377342,,,3,,
43.133732,-89.376526,,,3,,
43.133676,-89.371256,,,3,,
43.145222,-89.384296,,,3,,
43.1453474,-89.3839541,turning_circle,,1,,
43.091558,-89.358341,,,3,,
43.0932571,-89.3560954,,,4,,
43.09567,-89.353486,,,3,,
43.0746636,-89.3816982,traffic_signals,,4,,
43.0753126,-89.3810239,traffic_signals,,4,,
43.0759216,-89.3801229,stop,,4,,
43.0765463,-89.3792178,,,4,,
43.0770501,-89.3785101,,,4,,
43.0776881,-89.3776228,,,4,,
43.0814619,-89.3722678,stop,,4,,
43.0839613,-89.3686857,,,3,,
43.087503,-89.363646,,,1,,
43.0877258,-89.3633381,,,4,,
43.088596,-89.362101,,,3,,
43.0898253,-89.3603712,,,3,,
43.0746707,-89.3821208,traffic_signals,,3,,
43.0550227,-89.4610685,turning_circle,,1,,
43.054476,-89.4610673,,,3,,
43.0535784,-89.4610652,,,3,,
43.141553,-89.281984,,,3,,
43.0053192,-89.4943546,,,3,,
43.152648,-89.375886,,,3,,
43.1067317,-89.2765327,,,3,,
43.122586,-89.276254,,,3,,
43.124406,-89.2762617,,,3,,
43.143206,-89.2757891,,,4,,
43.0411623,-89.4802294,,,4,,
43.040139,-89.480227,,,3,,
43.043624,-89.269193,,,3,,
43.04374,-89.267056,,,3,,
43.0633939,-89.4946739,,,3,,
43.0629386,-89.4947368,turning_circle,,1,,
43.0444794,-89.5057119,,,3,,
43.044867,-89.505377,,,3,,
43.044919,-89.505329,,,3,,
43.045498,-89.505522,,,3,,
43.045734,-89.507328,,,3,,
43.031723,-89.434315,,,3,,
43.0311362,-89.4303118,,,4,,
43.030909,-89.42556,,,3,,
43.062671,-89.45255,,,3,,
43.062895,-89.454175,,,3,,
43.0628997,-89.4551782,,,3,,
43.1362568,-89.3860125,turning_circle,,1,,
43.1354681,-89.3851999,,,3,,
43.1345669,-89.3831872,,,3,,
43.081868,-89.284541,,,3,,
43.0821843,-89.2841789,turning_circle,,1,,
43.053448,-89.4469309,,,4,,
43.050682,-89.446926,,,4,,
43.049859,-89.446924,,,3,,
43.0889037,-89.327199,,,3,,
43.087922,-89.326251,,,4,,
43.086374,-89.324936,,,4,,
43.0848094,-89.3243163,turning_circle,,1,,
43.018459,-89.484963,,,3,,
43.01849,-89.485923,,,3,,
43.018495,-89.486953,,,3,,
43.018803,-89.487874,,,3,,
43.0189075,-89.4888382,,,3,,
43.0167289,-89.4907478,,,4,,
43.0156946,-89.4908172,traffic_signals,,4,,
43.0150551,-89.4907913,,,4,,
43.013964,-89.490827,,,3,,
43.0133883,-89.490849,,,3,,
43.011937,-89.491029,,,3,,
43.011275,-89.491802,,,3,,
43.0107984,-89.4925548,,,4,,
43.009584,-89.4929932,,,3,,
43.008867,-89.4929993,,,3,,
43.0080692,-89.4932368,,,3,,
43.0076562,-89.4937383,,,3,,
43.0074178,-89.4945311,,,3,,
43.0074099,-89.4974066,,,3,,
43.0074062,-89.498992,,,4,,
43.081305,-89.316228,,,3,,
43.0141966,-89.5142623,,,3,,
43.046615,-89.362904,,,3,,
43.044759,-89.362848,,,3,,
43.044189,-89.362874,,,3,,
43.026665,-89.4194696,,,4,,
43.0484517,-89.4510623,,,4,,
43.048087,-89.453688,,,3,,
43.142187,-89.365878,turning_circle,,1,,
43.1429954,-89.3656908,,,3,,
43.071362,-89.4388484,,,3,,
43.0694528,-89.4441827,,,3,,
43.069454,-89.4442704,,,3,,
43.0694662,-89.4452986,,,3,,
43.0694808,-89.4463525,stop,,3,,
43.028874,-89.482538,,,3,,
43.028021,-89.4875,,,4,,
43.1090996,-89.3293513,,,4,,
43.110647,-89.329323,,,3,,
43.045702,-89.5570933,,,4,,
43.0424997,-89.557221,,,3,,
43.0381703,-89.5576395,,,3,,
43.0481589,-89.3411258,,,3,,
43.0485556,-89.341193,,,2,,
43.099956,-89.342837,,,3,,
43.046748,-89.521087,,,4,,
43.0463771,-89.5208225,turning_circle,,1,,
43.0311907,-89.552863,,,4,,
43.0299497,-89.5529008,,,3,,
43.0155868,-89.5530694,traffic_signals,,4,,
43.0148645,-89.4860732,,,3,,
43.0345841,-89.3803453,,,4,,
43.0415747,-89.4040228,,,3,,
43.041505,-89.403219,,,3,,
43.0405045,-89.4027346,,,3,,
43.0394119,-89.402743,,,3,,
43.0385945,-89.4027462,,,3,,
43.0800179,-89.3138435,,,3,,
43.0928481,-89.3386327,,,4,,
43.0296112,-89.47929,turning_circle,,1,,
43.029732,-89.479857,,,3,,
43.100679,-89.300358,,,4,,
43.10168,-89.300239,turning_circle,,1,,
43.0764313,-89.4127012,stop,,4,,
43.0764598,-89.4159256,stop,,4,,
43.0765312,-89.4253473,,,3,,
43.0769623,-89.4267187,,,3,,
43.0093677,-89.5126776,,,3,,
43.0082049,-89.5132464,,,3,,
43.081153,-89.502281,,,4,,
43.0816895,-89.5007463,turning_circle,,1,,
43.0768211,-89.3813008,,,4,,
43.0837929,-89.319134,,,4,,
43.0828824,-89.3191206,,,4,,
43.082326,-89.318885,,,3,,
43.081905,-89.3187146,,,3,,
43.078544,-89.314532,,,4,,
43.077896,-89.313729,,,4,,
43.077249,-89.312976,,,4,,
43.075464,-89.312957,,,4,,
43.073677,-89.312967,,,4,,
43.073217,-89.312961,,,3,,
43.071273,-89.312977,,,4,,
43.069942,-89.31297,,,4,,
43.06823,-89.313146,,,3,,
43.066314,-89.313177,,,4,,
43.064018,-89.313196,,,4,,
43.062228,-89.312876,,,4,,
43.060977,-89.312779,,,4,,
43.058569,-89.3127,,,3,,
43.142442,-89.305584,,,3,,
43.142392,-89.305186,,,3,,
43.142405,-89.304448,,,3,,
43.142191,-89.301352,,,3,,
43.140893,-89.300332,,,3,,
43.139937,-89.299696,,,3,,
43.135579,-89.299685,,,3,,
43.098417,-89.289441,turning_circle,,1,,
43.09732,-89.288831,,,4,,
43.096676,-89.288177,,,3,,
43.095795,-89.287592,,,3,,
43.0935013,-89.2876489,,,3,,
43.099839,-89.297134,,,4,,
43.099907,-89.293008,,,3,,
43.0554383,-89.4833834,,,3,,
43.055918,-89.4807609,,,3,,
43.05634,-89.4753386,,,3,,
43.083378,-89.519079,,,3,,
43.026898,-89.42606,stop,,4,,
43.025042,-89.427857,,,3,,
43.0257356,-89.4315663,,,3,,
43.137361,-89.372293,,,1,,
43.1373224,-89.3699204,,,3,,
43.1373084,-89.3690605,,,3,,
43.1372928,-89.3681017,,,4,,
43.1372504,-89.3654948,,,3,,
43.137214,-89.363258,,,3,,
43.034844,-89.469639,,,3,,
43.034106,-89.4696514,turning_circle,,1,,
43.0856509,-89.3762899,,,3,,
43.093882,-89.343527,,,4,,
43.0930797,-89.3435569,,,4,,
43.0922974,-89.343586,,,4,,
43.0915015,-89.3436156,,,4,,
43.0907908,-89.3436421,,,4,,
43.038096,-89.484278,turning_circle,,1,,
43.037713,-89.48484,,,4,,
43.0358758,-89.4853353,,,4,,
43.032835,-89.485431,,,3,,
43.057095,-89.395163,,,3,,
43.056102,-89.3952,,,4,,
43.05507,-89.395226,,,4,,
43.0540338,-89.3952241,,,3,,
43.083743,-89.472,,,3,,
43.0838996,-89.4717551,,,1,,
43.1319008,-89.2857068,,,1,,
43.1317041,-89.286533,,,3,,
43.1315131,-89.2874274,,,3,,
43.093907,-89.345051,traffic_signals,,3,,
43.093111,-89.345075,,,4,,
43.092319,-89.345106,,,4,,
43.091525,-89.345133,,,4,,
43.090817,-89.34514,,,4,,
43.0269384,-89.2809963,,,3,,
43.031372,-89.406203,,,4,,
43.0824786,-89.4903896,,,4,,
43.0764293,-89.508149,,,3,,
43.076465,-89.5075919,,,3,,
43.029744,-89.495206,,,4,,
43.028827,-89.495573,turning_circle,,1,,
43.101479,-89.292449,,,4,,
43.0778941,-89.3929626,turning_circle,,1,,
43.0775161,-89.3935265,,,3,,
43.070222,-89.464621,,,3,,
43.070584,-89.465753,,,3,,
43.0751404,-89.5091328,,,3,,
43.075598,-89.509143,,,3,,
43.070126,-89.427123,,,3,,
43.0701366,-89.4286387,,,3,,
43.102057,-89.318725,,,3,,
43.1047049,-89.3189224,,,1,,
43.082762,-89.323205,,,3,,
43.082794,-89.321807,,,3,,
43.0828412,-89.3204783,,,4,,
43.082968,-89.316244,,,3,,
43.032615,-89.396459,,,3,,
43.030037,-89.396485,,,3,,
43.0107423,-89.5150493,,,4,,
43.0112091,-89.5154938,turning_circle,,1,,
43.068265,-89.516094,,,3,,
43.0682404,-89.5175389,stop,,4,,
43.068013,-89.4758029,,,3,,
43.069199,-89.475806,,,3,,
43.070312,-89.475793,,,3,,
43.070444,-89.475796,,,3,,
43.0711263,-89.4759156,,,3,,
43.071928,-89.476015,,,3,,
43.072504,-89.476031,,,4,,
43.072686,-89.476034,,,3,,
43.0734416,-89.47606,,,4,,
43.0743031,-89.4760554,,,3,,
43.1355579,-89.3221939,,,4,,
43.135532,-89.320038,,,3,,
43.135502,-89.315666,,,3,,
43.117053,-89.330567,,,4,,
43.087049,-89.486249,,,3,,
43.0854287,-89.4862394,turning_circle,,1,,
43.103797,-89.309921,,,3,,
43.103596,-89.309174,turning_circle,,1,,
43.0399769,-89.4512176,,,4,,
43.051507,-89.246264,,,4,,
43.043456,-89.246859,,,3,,
43.0708312,-89.5267047,,,3,,
43.070797,-89.529953,,,3,,
43.0664261,-89.4168255,,,3,,
