osmid,highway,lanes,oneway,reversed,length,bridge,speed_kph,travel_time,maxspeed,ref,name,junction,access,width,tunnel
"[37825793, 37825794, 1169866150]",motorway,2,True,False,648.7520016496732,yes,88.5137,26.38582734581001,55 mph,US 12;US 14;CTH M,West Beltline Highway,,,,
"[43914715, 6771852]",motorway,5,True,False,462.3809608697255,yes,88.5137,18.80580587107998,55 mph,US 12;US 18,"['South Beltline Highway', 'West Beltline Highway']",,,,
6577422,motorway_link,1,True,False,507.32243904289396,,88.5137,20.63365084223593,,,,,,,
38245523,motorway,4,True,False,248.28270768486996,,88.5137,10.098072362419963,55 mph,US 12;US 18,West Beltline Highway,,,,
"[38245841, 1165606828, 38245524]",motorway,5,True,False,574.7288694777973,yes,88.5137,23.375182939139027,55 mph,US 12;US 18,West Beltline Highway,,,,
"[1382881264, 1164453701, 6563277]",motorway_link,"['2', '1', '3']",True,False,281.9220477982761,,88.5137,11.466240503716305,,,,,,,
700431615,motorway,4,True,False,598.3648965845143,,88.5137,24.336499634567886,55 mph,US 12;US 18,West Beltline Highway,,,,
6561908,motorway,5,True,False,484.0931628202114,,88.5137,19.68887738454907,55 mph,US 12;US 18,West Beltline Highway,,,,
"[1383837708, 1175544630, 6616903]",motorway_link,"['2', '1']",True,False,323.3708533691689,,88.5137,13.152032647251309,,US 14;US 151,,,,,
52433506,motorway,4,True,False,358.25850317100236,,88.5137,14.570971628297187,55 mph,US 12;US 18,West Beltline Highway,,,,
1171230732,motorway,5,True,False,177.38473688916125,,88.5137,7.214533488047393,55 mph,US 12;US 14;US 18;US 151,West Beltline Highway,,,,
38254187,motorway,4,True,False,483.40924397952193,,88.5137,19.661061263129653,55 mph,US 12;US 14;US 18;US 151,West Beltline Highway,,,,
"[1382881245, 6571971, 1383837709]",motorway_link,"['2', '1']",True,False,357.5014828697684,,88.5137,14.540182348395405,,,,,,,
"[1043471881, 1383837711]",motorway,"['4', '5']",True,False,270.31759357765554,,88.5137,10.994267970715946,55 mph,US 12;US 14;US 18;US 151,West Beltline Highway,,,,
"[6580819, 1382881244]",motorway_link,"['2', '1']",True,False,249.10730625363794,,88.5137,10.131610163320442,,,,,,,
1043471880,motorway,5,True,False,321.03061048891215,,88.5137,13.056851061023139,55 mph,US 12;US 14;US 18;US 151,West Beltline Highway,,,,
"[1043441128, 6590311]",motorway_link,"['2', '1']",True,False,434.4031082442338,,48.2802,32.391149781468215,30 mph,,,,,,
"[230252362, 700431580, 38254189]",motorway,4,True,False,1537.544011246616,yes,88.5137,62.53448269011258,55 mph,US 12;US 14;US 18;US 151,West Beltline Highway,,,,
"[700431563, 33654972]",motorway,5,True,False,737.4470679571457,,88.5137,29.993203816423044,55 mph,US 12;US 14;US 18;US 151,West Beltline Highway,,,,
6583762,motorway_link,1,True,False,474.43630700894545,,88.5137,19.296116931415177,,,,,,,
"[38252714, 38252713, 28773786]",motorway,4,True,False,1252.2035968052044,yes,88.5137,50.92921150622713,55 mph,US 12;US 14,West Beltline Highway,,,,
70978270,motorway,5,True,False,575.3575972073908,,88.5137,23.400754345899074,55 mph,US 12;US 14,West Beltline Highway,,,,
"[6609434, 1383674615]",motorway_link,1,True,False,296.35124604286847,,88.5137,12.05310009359372,,,,,,,
"[38308731, 38308732, 700703109]",motorway,"['2', '4']",True,False,1223.9334870690268,yes,88.5137,49.77941893117672,55 mph,US 12;US 14,West Beltline Highway,,,,
6569636,motorway_link,1,True,False,120.12593037147627,,88.5137,4.88572220274731,,,,,,,
"[700703108, 1177893229, 37551959]",motorway,2,True,False,804.9116709939275,yes,88.5137,32.73710189019484,55 mph,US 12;US 14,West Beltline Highway,,,,
"[349671680, 1462000756, 6570687]",motorway_link,"['2', '4', '1']",True,False,206.4749506019726,,88.5137,8.397681061430054,,CTH M,,,,,
"[33654970, 323090196, 37500078]",motorway,2,True,False,699.962922918144,yes,88.5137,28.46866103784294,55 mph,US 12;US 14,West Beltline Highway,,,,
37778214,motorway,3,True,False,936.2822741332376,,88.5137,38.080163713409966,55 mph,US 12;US 14;CTH M,West Beltline Highway,,,,
"[1173968848, 6568721]",motorway_link,"['1', '3']",True,False,388.2337065403934,,88.5137,15.790113208976875,,,,,,,
"[1168588792, 1169944745, 37778213]",motorway,2,True,False,845.5359216927776,yes,88.5137,34.389358010048156,55 mph,US 12;US 14;CTH M,West Beltline Highway,,,,
"[37825792, 1169944746]",motorway,"['2', '3']",True,False,753.6593980214877,,88.5137,30.65258635530269,55 mph,US 12;US 14;CTH M,West Beltline Highway,,,,
"[37825792, 38310355, 37825791]",motorway,2,True,False,751.8685944254653,yes,88.5137,30.57975138234731,55 mph,US 12;US 14;CTH M,West Beltline Highway,,,,
6561927,residential,,False,False,115.0387190982883,,35.78807267343486,11.571994740617857,,,Naheda Trail,,,,
6775242,residential,,False,False,91.90945271883606,,35.78807267343486,9.245371574128226,,,Ottawa Trail,,,,
6775242,residential,,False,True,138.00859438860792,,35.78807267343486,13.882584411084569,,,Ottawa Trail,,,,
6762637,residential,,False,False,34.03463712665846,,35.78807267343486,3.4236181080217643,,,Miami Pass,,,,
6561927,residential,,False,False,38.35718401837812,,35.78807267343486,3.8584324930317084,,,Naheda Trail,,,,
6561927,residential,,False,True,115.03871909828828,,35.78807267343486,11.571994740617855,,,Naheda Trail,,,,
6762637,residential,,False,True,172.41774908007355,,35.78807267343486,17.343876054800994,,,Miami Pass,,,,
6561932,residential,,False,True,98.5524393447655,,35.78807267343486,9.913604034466825,,,Hickory Hollow Drive,,,,
383564642,residential,,True,False,109.77330345415078,,35.78807267343486,11.042335138887877,,,Hickory Hollow Drive,,,,
"[6561334, 6632934]",residential,,False,"[False, True]",299.2932890924096,,35.78807267343486,30.10656233333458,,,"['Bridle Way', 'Canter Drive']",,,,
6561957,residential,,False,False,59.75408757747694,,35.78807267343486,6.010793518886379,,,Gettle Avenue,,,,
1418604678,tertiary,2,False,False,199.47941532429888,,40.2335,17.848954109572272,25 mph,,Old Middleton Road,,,,
1418604678,tertiary,2,False,True,274.1701869931834,,40.2335,24.532110633563082,25 mph,,Old Middleton Road,,,,
6561957,residential,,False,True,170.8892270885864,,35.78807267343486,17.1901187061009,,,Gettle Avenue,,,,
6695279,tertiary,2,False,False,97.0226933879197,,40.2335,8.681364937092496,25 mph,,North Rosa Road,,,,
6695279,tertiary,2,False,True,108.8277557205615,,40.2335,9.737654456958042,25 mph,,North Rosa Road,,,,
6562089,tertiary,2,False,False,1060.81704485469,,48.2802,79.09953482953435,30 mph,,Nob Hill Road,,,,
6647127,tertiary,,False,False,433.59156397373107,,44.58354698042482,35.011337949194235,,,Industrial Drive,,,,
"[6697972, 6737724]",residential,,False,"[False, True]",764.7591125391771,,40.2335,68.42886661963382,25 mph,,"['Royal Avenue', 'Mangrove Lane']",,,,
6562089,tertiary,2,False,True,1060.81704485469,,48.2802,79.09953482953435,30 mph,,Nob Hill Road,,,,
700405199,tertiary,,False,False,472.5889127173332,,44.58354698042482,38.16026765500272,,,Nob Hill Road,,,,
700405201,residential,,False,False,84.43512721674794,,35.78807267343486,8.493512929684082,,,Badger Lane,,,,
700405200,residential,,False,False,83.87869676881525,,35.78807267343486,8.437540381767452,,,East Badger Road,,,,
700405199,tertiary,,False,True,472.58891271733347,,44.58354698042482,38.16026765500274,,,Nob Hill Road,,,,
700405202,tertiary,,False,True,187.55452877966914,,44.58354698042482,15.144517413638388,,,East Badger Road,,,,
6562157,motorway_link,1,True,False,341.6126576276513,,88.5137,13.893957290900106,,,,,,,
"[38050435, 38050459, 1174244045]",motorway,"['4', '3']",True,False,330.8175755746181,yes,88.5137,13.454903275635582,55 mph,US 151,,,,,
6562882,motorway_link,1,True,False,524.2070837383618,,88.5137,21.320377539952602,,,,,,,
"[118936963, 6653028]",motorway,"['2', '1']",True,False,629.3602242471327,,88.5137,25.59713137389667,55 mph,US 12;US 18,South Beltline Highway,,,,
6674309,residential,,False,True,210.4282035330911,,35.78807267343486,21.167430267387484,,,Willow Lane,,,,
391767906,tertiary,,False,False,119.62449698705795,,56.3269,7.645515537929632,35 mph,,South High Point Road,,,,
700703102,tertiary,,True,False,91.70434679997781,,56.3269,5.861065467475045,35 mph,,South High Point Road,,,,
751138210,residential,,False,False,46.73060289285205,,35.78807267343486,4.700732893591752,,,Sugar Avenue,,,,
1372759022,tertiary,4,False,True,92.00794320158455,,40.2335,8.232656754339155,25 mph,,Atwood Avenue,,,,
1372759023,tertiary,1,True,False,155.48705417797552,,40.2335,13.912619957018702,25 mph,,Atwood Avenue,,,,
317099462,motorway_link,2,True,False,15.550979899866057,,88.5137,0.6324843232123142,,,,,,,
1382881265,secondary,2,True,False,26.08389893725271,,56.3269,1.6670904341284492,35 mph,CTH MM,Rimrock Road,,,,
